CLIENT_ZIP,SITE_LATITUDE,SITE_LONGITUDE,DISTINCT_INTERACTION_ID_CNT
53227,42.988534,-87.8924671,1
53216,43.009808,-87.9618726,1
53211,43.1192086,-88.0324478,1
53233,43.0535607,-87.9194224,1
53228,43.0440971,-88.0289756,1
53207,43.0410791,-88.0397474,1
53210,43.0433322,-87.9238174,1
53210,43.067615,-87.9441198,1
53208,43.0333532,-88.1698993,1
53154,43.0530363,-87.934476,1
53404,42.7233633,-87.7822227,1
53210,43.0718225,-89.3816961,1
54601,43.098365,-89.3050382,1
55921,,,1
54729,44.9271098,-91.3604126,1
53218,43.1156658,-87.9865502,1
53029,43.0210082,-87.9968633,1
53221,43.0530363,-87.934476,1
53218,43.0533748,-89.3955318,1
53215,0,0,1
53207,43.0386745,-87.9199844,1
53213,43.0556602,-87.9181198,1
53403,42.7275578,-87.7845572,1
53227,43.0124994,-87.9928039,1
53091,43.0215268,-88.2537804,1
53210,43.0135771,-87.941262,1
53208,43.0429146,-89.3759564,1
53214,43.0750725,-88.0038214,1
53222,43.0396707,-87.9504051,1
53209,43.1648821,-88.0055004,1
54403,44.959661,-89.6285111,1
53216,43.0433322,-87.9238174,1
53212,43.1648821,-88.0055004,1
53216,38.851059,-77.050559,1
53228,43.0395821,-87.9198778,1
53209,43.0718225,-89.3816961,1
53209,43.0172772,-87.9734204,1
53402,42.7300554,-87.9606641,1
53406,42.7300554,-87.9606641,1
53208,43.0193608,-87.958023,1
53405,43.0718225,-89.3816961,1
53222,43.0091909,-88.2275888,1
53224,43.00679569,-88.02960138,1
52049,38.883601,-77.0264339,1
53404,42.7480251,-87.7856331,4
53215,43.1176754,-87.9904266,1
53223,43.0409377,-87.9365218,7
53215,43.0395821,-87.9198778,10
53212,43.1192086,-88.0324478,6
53403,42.732284,-87.7922417,9
53206,43.02236034,-87.91836009,1
53222,43.1188947,-87.9982818,1
53216,43.0395821,-87.9198778,21
53206,43.0555513,-87.9627692,2
53216,43.0511886,-87.939263,1
53216,43.0488227,-87.9278883,24
53209,43.0081457,-88.2256718,1
53403,42.7148104,-87.8143275,4
53005,43.0215108,-88.2316651,1
53224,43.1847944,-88.0045085,3
55921,40.735083,-73.9881983,1
53405,42.7480251,-87.7856331,1
53206,43.0488227,-87.9278883,27
53224,43.0483622,-87.9296885,4
53208,43.04333,-87.9237698,5
53233,43.0210082,-87.9968633,6
53405,42.7265875,-87.8064506,5
53405,0,0,1
53225,43.0433344,-87.9240303,2
53202,43.0615264,-87.8864629,1
53206,43.0433344,-87.9240303,9
53216,43.0750725,-88.0038214,4
53208,43.1192086,-88.0324478,4
53233,,,3
53220,43.0488227,-87.9278883,4
53188,43.0136678,-88.237429,3
53207,42.972029,-87.91947462,1
53209,43.0417217,-87.9043253,1
53206,43.067615,-87.9441198,8
53212,43.0607703,-87.934476,7
53215,42.9943092,-87.9134072,4
53205,43.0607703,-87.934476,2
53233,43.0433344,-87.9240303,4
53205,43.00679569,-88.02960138,8
53227,43.0395821,-87.9198778,2
53216,43.0402924,-87.9140894,2
54601,43.8754262,-91.1801525,2
53224,43.03733013,-87.92320041,1
53072,42.72878853,-87.80726897,1
53218,43.052153,-87.9191542,1
53216,43.029371,-88.267498,1
53220,43.00679569,-88.02960138,1
53202,43.067615,-87.9441198,1
53404,43.1002545,-89.5390746,2
53212,43.0555576,-87.9145566,1
53210,43.0731159,-88.05589,1
54636,43.8148533,-91.2466917,1
53205,43.0122026,-87.9523576,2
53209,43.0439809,-87.9086048,1
53210,42.9919933,-87.9375834,1
53208,43.0613891,-87.9751641,1
53204,43.0426219,-87.9279631,1
53205,43.0641205,-87.96717239,1
53210,43.0433344,-87.9240303,6
