CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT,CLIENT_LATITUDE,CLIENT_LONGITUDE,STRAIGHT_DISTANCE_MILES
53214,34907,43.067804,-87.9229711,53206.0,1,43.0215,-88.0176,5.75
53215,27227,43.0135771,-87.941262,53204.0,2,43.006,-87.9429,0.53
53218,28466,43.1176754,-87.9904266,53218.0,10,43.1122,-87.9932,0.4
54914,34863,44.3975434,-88.7447015,54961.0,1,44.271,-88.4326,17.73
53214,30499,43.00679569,-88.02960138,53214.0,3,43.0215,-88.0176,1.18
53403,28155,42.7480251,-87.7856331,53402.0,2,42.706,-87.8014,3.01
53210,32116,43.0750725,-88.0038214,53210.0,8,43.0685,-87.9715,1.69
53210,27737,43.0530363,-87.934476,53205.0,5,43.0685,-87.9715,2.15
53219,28622,43.0607703,-87.934476,53205.0,1,42.9959,-87.9944,5.41
53233,27861,43.0418389,-87.9412286,53233.0,3,43.0407,-87.9357,0.29
53220,28504,43.0441177,-88.0289889,53226.0,3,42.9559,-87.9933,6.36
53212,37535,43.0785513,-87.9044485,53212.0,2,43.0712,-87.9084,0.55
53216,27574,43.0418686,-87.9084624,53202.0,1,43.0859,-87.9742,4.5
53022,28153,43.0386745,-87.9199844,53203.0,1,43.2189,-88.1165,15.91
53216,37907,43.0901002,-87.9661372,53216.0,2,43.0859,-87.9742,0.5
53209,28626,43.0081457,-88.2256718,53186.0,1,43.1188,-87.9478,15.98
53214,28918,43.0019257,-88.0532287,53227.0,1,43.0215,-88.0176,2.25
53224,27533,42.972029,-87.91947462,53221.0,1,43.1594,-88.0327,14.15
53218,19318,42.9943092,-87.9134072,53207.0,1,43.1122,-87.9932,9.09
53202,22234,44.2513583,-88.3688148,54915.0,1,43.0506,-87.8968,86.25
53105,20044,43.0424205,-88.0239984,53226.0,1,42.666,-88.2749,28.95
53051,28615,43.0124564,-88.2203274,53186.0,1,43.1602,-88.1128,11.56
53209,28153,43.0386745,-87.9199844,53203.0,2,43.1188,-87.9478,5.71
53214,28803,43.0161722,-87.9914648,53214.0,9,43.0215,-88.0176,1.37
53202,28505,43.1192086,-88.0324478,53225.0,5,43.0506,-87.8968,8.33
53212,27391,43.009808,-87.9618726,53215.0,1,43.0712,-87.9084,5.03
53218,35464,43.0556602,-87.9181198,53212.0,3,43.1122,-87.9932,5.44
53218,33027,43.0555576,-87.9145566,53212.0,3,43.1122,-87.9932,5.57
53214,27529,43.0418568,-87.9096904,53202.0,1,43.0215,-88.0176,5.63
53233,37819,43.0433344,-87.9240303,53233.0,4,43.0407,-87.9357,0.62
53215,36605,43.0467965,-88.0076535,53213.0,2,43.006,-87.9429,4.32
53233,30859,43.0682117,-88.018167,53222.0,1,43.0407,-87.9357,4.58
53205,27081,43.0426483,-87.9212718,53233.0,1,43.0528,-87.9353,1.0
53185,28397,43.0210082,-87.9968633,53214.0,8,42.7632,-88.1974,20.5
53233,28435,43.0409377,-87.9365218,53233.0,3,43.0407,-87.9357,0.04
53218,28434,43.0409377,-87.9365218,53233.0,4,43.1122,-87.9932,5.69
53206,28444,43.0633551,-87.9180815,53212.0,6,43.0753,-87.9347,1.18
