CLIENT_ZIP,SITE_ID,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP,DISTINCT_INTERACTION_ID_CNT,CLIENT_LATITUDE,CLIENT_LONGITUDE,STRAIGHT_DISTANCE_MILES,DRIVING_DISTANCE_MILES,DRIVING_TIME_MINUTES,WALKING_DISTANCE_MILES,WALKING_TIME_MINUTES
53204,28507,43.0177922,-87.9234448,53204.0,1,43.0158,-87.9317,0.44,0.640251,2.7666666666666666,0.547722,10.783333333333333
53402,20050,43.0718225,-89.3816961,53703.0,1,42.7726,-87.796,82.85,99.037701,105.0,,
54603,11817,43.8165172,-91.2482325,54601.0,1,43.8487,-91.2484,2.22,2.3448960000000003,7.133333333333334,2.302668,46.13333333333333
53211,30499,43.00679569,-88.02960138,53214.0,1,43.082,-87.8895,8.78,13.041,21.25,,
54601,11923,43.8146827,-91.2486459,54601.0,1,43.7989,-91.2175,1.9,2.76966,8.133333333333333,2.601369,52.983333333333334
53185,27282,43.0226032,-87.9314504,53204.0,1,42.7632,-88.1974,22.42,26.036046000000002,33.21666666666667,,
53215,28399,43.0210082,-87.9968633,53214.0,1,43.006,-87.9429,2.92,4.46499,13.25,3.780027,77.65
53204,27087,42.990477,-87.9475489,53215.0,1,43.0158,-87.9317,1.92,2.240568,7.3,2.147418,43.43333333333333
53222,34736,43.0901002,-87.9661372,53216.0,1,43.0828,-88.0269,3.11,3.8036250000000003,10.083333333333334,3.4533810000000003,70.3
53204,28460,43.0308471,-88.0175196,53214.0,2,43.0158,-87.9317,4.46,6.288867000000001,13.233333333333333,5.245587,107.6
53204,30108,43.1625255,-88.0052206,53223.0,1,43.0158,-87.9317,10.8,15.274116000000001,24.1,,
53223,36980,43.1479775,-87.9791231,53223.0,1,43.1624,-87.9898,1.13,1.65186,4.266666666666667,1.643787,32.766666666666666
53213,30499,43.00679569,-88.02960138,53214.0,1,43.0488,-88.0015,3.23,4.319676,11.983333333333333,4.012902,83.31666666666666
53202,36573,43.0166335,-87.9915947,53214.0,1,43.0506,-87.8968,5.33,7.122870000000001,14.333333333333334,,
53001,21054,43.701008,-87.719117,53081.0,1,43.6151,-88.0254,16.42,18.782766000000002,25.9,,
53208,27658,43.1244822,-87.9850609,53218.0,1,43.0488,-87.9625,5.35,5.774679,14.2,,
53224,28273,42.5970446,-87.8564334,53144.0,1,43.1594,-88.0327,39.87,50.477364,54.266666666666666,,
53224,27240,43.1368903,-88.0073999,53223.0,1,43.1594,-88.0327,2.01,3.1410180000000003,7.266666666666667,2.807541,56.06666666666667
53226,27606,43.0147369,-87.949006,53215.0,1,43.0493,-88.0414,5.24,8.598987000000001,13.416666666666666,,
53202,27737,43.0530363,-87.934476,53205.0,1,43.0506,-87.8968,1.91,1.9778850000000001,7.85,1.9778850000000001,41.9
53228,19303,43.082398,-88.4380688,53066.0,1,42.9676,-88.0434,21.46,27.579231,28.1,,
53210,29588,43.0392652,-87.9152463,53203.0,1,43.0685,-87.9715,3.49,6.159699,12.383333333333333,4.047057000000001,81.15
53210,29210,43.0415872,-87.9240961,53233.0,1,43.0685,-87.9715,3.03,4.307877,12.45,3.553983,71.41666666666667
53224,37819,43.0433344,-87.9240303,53233.0,1,43.1594,-88.0327,9.71,14.319018,22.233333333333334,,
53208,26934,43.0453982,-87.9001095,53202.0,1,43.0488,-87.9625,3.16,5.987682,11.066666666666666,3.2068440000000002,65.53333333333333
53209,28159,43.0395821,-87.9198778,53233.0,1,43.1188,-87.9478,5.65,7.431507,11.916666666666666,,
55921,11483,43.8754262,-91.1801525,54650.0,1,43.6221,-91.4837,23.15,29.65896,37.9,,
53210,19259,43.0343804,-87.9031756,53202.0,1,43.0685,-87.9715,4.18,6.6211020000000005,11.3,4.9574430000000005,99.93333333333334
53212,28395,43.0229535,-87.9298417,53204.0,1,43.0712,-87.9084,3.5,4.765554,7.7,4.268754,86.03333333333333
53404,28703,42.73079,-87.7832232,53403.0,1,42.7433,-87.8053,1.42,1.741284,6.016666666666667,1.741284,34.46666666666667
53210,27744,43.05527576,-87.91821342,53212.0,1,43.0685,-87.9715,2.84,3.5452890000000004,10.1,3.194424,64.11666666666666
53227,28397,43.0210082,-87.9968633,53214.0,1,42.9949,-88.0364,2.69,4.791015,7.766666666666667,3.153438,63.766666666666666
53403,29448,42.7168522,-87.8476854,53406.0,2,42.706,-87.8014,2.47,3.2273370000000003,10.433333333333334,3.1006530000000003,64.15
53204,34922,43.0615264,-87.8864629,53211.0,1,43.0158,-87.9317,3.9,5.860998,14.633333333333333,4.933845,98.66666666666667
53212,29198,43.0785993,-87.916434,53212.0,1,43.0712,-87.9084,0.65,0.848286,2.466666666666667,0.848286,17.733333333333334
