INTERACTION_ID,SITE_ID,CLIENT_ID,CLIENT_ZIP,SITE_LATITUDE,SITE_LONGITUDE,SITE_ZIP
1211142,7489,2679,54636,43.8838955,-91.2309818,54650
1208997,7489,2679,54636,43.8838955,-91.2309818,54650
1205318,7489,2679,54636,43.8838955,-91.2309818,54650
1199322,7489,2679,54636,43.8838955,-91.2309818,54650
1303983,7489,2679,54636,43.8838955,-91.2309818,54650
1299430,7489,2679,54636,43.8838955,-91.2309818,54650
1291889,7489,2679,54636,43.8838955,-91.2309818,54650
1289923,7489,2679,54636,43.8838955,-91.2309818,54650
1288073,7489,2679,54636,43.8838955,-91.2309818,54650
1287747,7489,2679,54636,43.8838955,-91.2309818,54650
1287418,7489,2679,54636,43.8838955,-91.2309818,54650
1287367,7489,2679,54636,43.8838955,-91.2309818,54650
1283756,7489,2679,54636,43.8838955,-91.2309818,54650
1283055,7489,2679,54636,43.8838955,-91.2309818,54650
1277587,7489,2679,54636,43.8838955,-91.2309818,54650
1236197,7489,2679,54636,43.8838955,-91.2309818,54650
1352165,7489,2679,54636,43.8838955,-91.2309818,54650
1351253,7489,2679,54636,43.8838955,-91.2309818,54650
1345531,7489,2679,54636,43.8838955,-91.2309818,54650
1344200,7489,2679,54636,43.8838955,-91.2309818,54650
1334137,7489,2679,54636,43.8838955,-91.2309818,54650
1331686,7489,2679,54636,43.8838955,-91.2309818,54650
1329541,7489,2679,54636,43.8838955,-91.2309818,54650
1326887,7489,2679,54636,43.8838955,-91.2309818,54650
1321797,7489,2679,54636,43.8838955,-91.2309818,54650
1317514,7489,2679,54636,43.8838955,-91.2309818,54650
1313666,7489,2679,54636,43.8838955,-91.2309818,54650
1309978,7489,2679,54636,43.8838955,-91.2309818,54650
1308431,7489,2679,54636,43.8838955,-91.2309818,54650
1306872,7489,2679,54636,43.8838955,-91.2309818,54650
1394989,7489,2679,54636,43.8838955,-91.2309818,54650
1390516,7489,2679,54636,43.8838955,-91.2309818,54650
1370409,7489,2679,54636,43.8838955,-91.2309818,54650
1364962,7489,2679,54636,43.8838955,-91.2309818,54650
1233156,7489,2679,54636,43.8838955,-91.2309818,54650
1402798,7489,2679,54636,43.8838955,-91.2309818,54650
1375443,7489,2844,54603,43.8838955,-91.2309818,54650
1226245,7489,2748,52175,43.8838955,-91.2309818,54650
1224378,7489,2748,52175,43.8838955,-91.2309818,54650
1173238,7489,2748,52175,43.8838955,-91.2309818,54650
1274609,7489,2748,52175,43.8838955,-91.2309818,54650
1271043,7489,2748,52175,43.8838955,-91.2309818,54650
1269981,7489,2748,52175,43.8838955,-91.2309818,54650
1265611,7489,2748,52175,43.8838955,-91.2309818,54650
1323366,7489,2937,55974,43.8838955,-91.2309818,54650
1385970,7489,2668,54669,43.8838955,-91.2309818,54650
1323371,7489,2749,54650,43.8838955,-91.2309818,54650
1232280,20037,2823,54601,0,0,
1383642,9530,2889,52136,43.3724585,-92.1161642,52136
1223817,28434,14613,53205,43.0409377,-87.9365218,53233
1329306,28434,14836,53233,43.0409377,-87.9365218,53233
1235261,28435,14929,53211,43.0409377,-87.9365218,53233
1235666,37477,14929,53211,43.0395821,-87.9198778,53233
1402775,28397,15978,53219,43.0210082,-87.9968633,53214
1191808,28456,16313,53213,43.0483622,-87.9296885,53205
1348171,37819,16037,53210,43.0433344,-87.9240303,53233
1306694,28400,15977,53208,43.0488227,-87.9278883,53205
1339657,20037,16035,53233,0,0,
1240047,37819,14838,53204,43.0433344,-87.9240303,53233
1310781,7489,2693,55921,43.8838955,-91.2309818,54650
1355584,7489,2670,54601,43.8838955,-91.2309818,54650
1195280,7489,2680,52049,43.8838955,-91.2309818,54650
1316858,7489,2680,52049,43.8838955,-91.2309818,54650
1304702,,2680,52049,,,
1394037,7489,2843,54701,43.8838955,-91.2309818,54650
1356776,7489,2679,54636,43.8838955,-91.2309818,54650
1304013,20037,2679,54636,0,0,
1321346,None,2679,54636,,,
1180217,7489,2679,54636,43.8838955,-91.2309818,54650
1179348,7489,2679,54636,43.8838955,-91.2309818,54650
1178376,7489,2679,54636,43.8838955,-91.2309818,54650
1171967,7489,2679,54636,43.8838955,-91.2309818,54650
1348298,7489,2679,54636,43.8838955,-91.2309818,54650
1330933,7489,2679,54636,43.8838955,-91.2309818,54650
1326830,7489,2679,54636,43.8838955,-91.2309818,54650
1326301,7489,2679,54636,43.8838955,-91.2309818,54650
1314521,7489,2679,54636,43.8838955,-91.2309818,54650
1401733,7489,2679,54636,43.8838955,-91.2309818,54650
1396681,7489,2679,54636,43.8838955,-91.2309818,54650
1373419,7489,2679,54636,43.8838955,-91.2309818,54650
1283489,14279,2844,54603,43.8149618,-91.2504499,54601
1233967,7489,2679,54636,43.8838955,-91.2309818,54650
1183534,7489,2679,54636,43.8838955,-91.2309818,54650
1352461,7489,2679,54636,43.8838955,-91.2309818,54650
1200187,7489,2748,52175,43.8838955,-91.2309818,54650
1236286,7489,2748,52175,43.8838955,-91.2309818,54650
1176633,12634,14865,53205,43.03884557,-87.91469278,53203
1190237,30499,14929,53211,43.00679569,-88.02960138,53214
1230616,28397,14913,53214,43.0210082,-87.9968633,53214
1276136,7489,2679,54636,43.8838955,-91.2309818,54650
1313364,29250,14937,53091,43.0113246,-88.2268907,53186
1351471,28456,16008,53208,43.0483622,-87.9296885,53205
1175508,28397,16008,53208,43.0210082,-87.9968633,53214
1224114,28929,16036,53215,43.0122026,-87.9523576,53215
1326674,28504,16036,53215,43.0441177,-88.0289889,53226
1290163,28929,16028,53110,43.0122026,-87.9523576,53215
1361124,28400,15944,53212,43.0488227,-87.9278883,53205
1211190,28397,16457,53208,43.0210082,-87.9968633,53214
1388516,37819,16818,53206,43.0433344,-87.9240303,53233
1314536,30499,16818,53206,43.00679569,-88.02960138,53214
1180354,28397,18932,53216,43.0210082,-87.9968633,53214
1221145,27737,18936,53208,43.0530363,-87.934476,53205
1196962,28397,19395,53188,43.0210082,-87.9968633,53214
1324813,29588,16458,53208,43.0392652,-87.9152463,53203
1191839,28505,19553,53210,43.1192086,-88.0324478,53225
1368594,27787,20295,53215,43.0067816,-87.9304354,53204
1379833,37442,18517,53209,43.128509,-87.955344,53209
1289846,35005,19310,53916,43.7717955,-88.4474104,54935
1328517,28397,19972,53208,43.0210082,-87.9968633,53214
1274161,33702,16921,53219,43.0753949,-87.9553052,53210
1284967,33495,19719,53206,43.090023,-87.941777,53206
1399973,28456,17739,53212,43.0483622,-87.9296885,53205
1384527,29414,18547,53206,43.0699934,-87.9058583,53212
1185863,36837,19935,53216,43.04414,-87.949609,53208
1348536,None,20066,53206,,,
1345525,28435,16424,53206,43.0409377,-87.9365218,53233
